Object, Count, Frequency
raised, 106, 0.00019244
attack, 106, 0.00019244
meet, 106, 0.00019244
beyond, 106, 0.00019244
late, 106, 0.00019244
year, 105, 0.00019063
generals, 105, 0.00019063
silence, 105, 0.00019063
running, 105, 0.00019063
man's, 105, 0.00019063
campaign, 105, 0.00019063
dress, 104, 0.00018881
colonel, 104, 0.00018881
straight, 104, 0.00018881
captain, 103, 0.00018700
shouting, 103, 0.00018700
rostopchin, 103, 0.00018700
emperor's, 103, 0.00018700
smolensk, 103, 0.00018700
considered, 103, 0.00018700
remembered, 103, 0.00018700
mamma, 103, 0.00018700
tomorrow, 102, 0.00018518
guns, 101, 0.00018337
legs, 101, 0.00018337
aim, 101, 0.00018337
decided, 101, 0.00018337
country, 101, 0.00018337
child, 101, 0.00018337
ought, 101, 0.00018337
run, 100, 0.00018155
business, 100, 0.00018155
wait, 100, 0.00018155
however, 100, 0.00018155
galloped, 100, 0.00018155
thin, 100, 0.00018155
body, 100, 0.00018155
ten, 99, 0.00017973
flank, 99, 0.00017973
five, 99, 0.00017973
questions, 99, 0.00017973
struck, 99, 0.00017973
napoleon's, 98, 0.00017792
fresh, 97, 0.00017610
neither, 97, 0.00017610
unable, 97, 0.00017610
carried, 97, 0.00017610
closed, 97, 0.00017610
case, 97, 0.00017610
return, 97, 0.00017610
andrew's, 96, 0.00017429
changed, 96, 0.00017429
talked, 95, 0.00017247
uniform, 95, 0.00017247
meaning, 95, 0.00017247
balashev, 95, 0.00017247
interrupted, 95, 0.00017247
laughing, 95, 0.00017247
cry, 95, 0.00017247
upon, 95, 0.00017247
rapidly, 95, 0.00017247
frenchman, 95, 0.00017247
father's, 94, 0.00017066
german, 94, 0.00017066
sister, 94, 0.00017066
blue, 94, 0.00017066
meeting, 94, 0.00017066
wrote, 94, 0.00017066
live, 93, 0.00016884
arrived, 93, 0.00016884
opinion, 93, 0.00016884
expected, 92, 0.00016703
sight, 92, 0.00016703
remarked, 92, 0.00016703
duty, 91, 0.00016521
occupied, 91, 0.00016521
berg, 91, 0.00016521
call, 91, 0.00016521
guards, 91, 0.00016521
corner, 91, 0.00016521
clearly, 91, 0.00016521
event, 90, 0.00016340
hope, 90, 0.00016340
ladies, 90, 0.00016340
plan, 90, 0.00016340
dmitrievna, 90, 0.00016340
master, 90, 0.00016340
spent, 89, 0.00016158
listen, 89, 0.00016158
laws, 89, 0.00016158
foot, 89, 0.00016158
covered, 89, 0.00016158
hardly, 89, 0.00016158
living, 89, 0.00016158
gazed, 88, 0.00015976
water, 88, 0.00015976
experienced, 88, 0.00015976
rather, 88, 0.00015976
beginning, 88, 0.00015976
uncle, 87, 0.00015795
porch, 87, 0.00015795
particularly, 87, 0.00015795
cannon, 87, 0.00015795
today, 87, 0.00015795
farther, 87, 0.00015795
pleased, 87, 0.00015795
forces, 87, 0.00015795
pleasant, 86, 0.00015613
calm, 86, 0.00015613
knows, 86, 0.00015613
truth, 86, 0.00015613
gray, 86, 0.00015613
sounds, 86, 0.00015613
knowing, 86, 0.00015613
subject, 86, 0.00015613
eh, 86, 0.00015613
lady, 85, 0.00015432
deep, 85, 0.00015432
firing, 85, 0.00015432
view, 85, 0.00015432
retreat, 85, 0.00015432
seems, 85, 0.00015432
surprise, 85, 0.00015432
listening, 85, 0.00015432
least, 85, 0.00015432
sake, 84, 0.00015250
move, 84, 0.00015250
pass, 84, 0.00015250
exclaimed, 84, 0.00015250
passing, 84, 0.00015250
reading, 84, 0.00015250
cossacks, 84, 0.00015250
victory, 84, 0.00015250
marry, 83, 0.00015069
seem, 83, 0.00015069
difficult, 83, 0.00015069
probably, 83, 0.00015069
middle, 83, 0.00015069
gentlemen, 83, 0.00015069
hills, 83, 0.00015069
hill, 83, 0.00015069
instead, 83, 0.00015069
despite, 83, 0.00015069
various, 83, 0.00015069
happen, 83, 0.00015069
bring, 83, 0.00015069
hard, 83, 0.00015069
cap, 83, 0.00015069
point, 82, 0.00014887
beautiful, 82, 0.00014887
meant, 82, 0.00014887
within, 82, 0.00014887
fixed, 82, 0.00014887
leaving, 82, 0.00014887
change, 82, 0.00014887
nonsense, 82, 0.00014887
keep, 82, 0.00014887
lying, 82, 0.00014887
infantry, 82, 0.00014887
joy, 81, 0.00014706
finished, 81, 0.00014706
seized, 81, 0.00014706
pressed, 81, 0.00014706
carts, 81, 0.00014706
begun, 81, 0.00014706
quiet, 80, 0.00014524
march, 80, 0.00014524
hussar, 80, 0.00014524
whispered, 80, 0.00014524
cossack, 80, 0.00014524
grown, 80, 0.00014524
step, 80, 0.00014524
bald, 80, 0.00014524
sad, 80, 0.00014524
kutuzov's, 80, 0.00014524
asleep, 79, 0.00014342
bonaparte, 79, 0.00014342
tikhon, 79, 0.00014342
ill, 79, 0.00014342
prepared, 79, 0.00014342
angrily, 79, 0.00014342
continually, 79, 0.00014342
pointing, 78, 0.00014161
sleep, 78, 0.00014161
single, 78, 0.00014161
ranks, 78, 0.00014161
street, 78, 0.00014161
distance, 78, 0.00014161
laughed, 78, 0.00014161
drove, 78, 0.00014161
there's, 78, 0.00014161
rushed, 78, 0.00014161
cavalry, 77, 0.00013979
poor, 77, 0.00013979
getting, 77, 0.00013979
simply, 77, 0.00013979
mouth, 77, 0.00013979
serfs, 77, 0.00013979
fight, 77, 0.00013979
effort, 76, 0.00013798
affair, 76, 0.00013798
number, 76, 0.00013798
evident, 76, 0.00013798
condition, 76, 0.00013798
remain, 76, 0.00013798
involuntarily, 76, 0.00013798
conception, 76, 0.00013798
tea, 75, 0.00013616
story, 75, 0.00013616
battery, 75, 0.00013616
hearing, 75, 0.00013616
nearer, 75, 0.00013616
drawn, 75, 0.00013616
thank, 75, 0.00013616
ago, 74, 0.00013435
desire, 74, 0.00013435
direction, 74, 0.00013435
suite, 74, 0.00013435
cross, 74, 0.00013435
lived, 74, 0.00013435
fall, 74, 0.00013435
future, 74, 0.00013435
path, 74, 0.00013435
glass, 74, 0.00013435
presented, 73, 0.00013253
dead, 73, 0.00013253
low, 73, 0.00013253
idea, 73, 0.00013253
looks, 73, 0.00013253
suffering, 73, 0.00013253
matters, 73, 0.00013253
sofa, 73, 0.00013253
forget, 73, 0.00013253
formed, 73, 0.00013253
therefore, 73, 0.00013253
glancing, 73, 0.00013253
result, 73, 0.00013253
paused, 73, 0.00013253
married, 73, 0.00013253
use, 72, 0.00013072
danger, 72, 0.00013072
dressed, 72, 0.00013072
you're, 72, 0.00013072
person, 72, 0.00013072
special, 72, 0.00013072
bright, 72, 0.00013072
liked, 72, 0.00013072
real, 72, 0.00013072
following, 71, 0.00012890
latter, 71, 0.00012890
placed, 71, 0.00012890
laughter, 71, 0.00012890
stop, 71, 0.00012890
actions, 71, 0.00012890
sense, 71, 0.00012890
guests, 71, 0.00012890
spite, 71, 0.00012890
rubles, 71, 0.00012890
book, 71, 0.00012890
try, 71, 0.00012890
brilliant, 70, 0.00012709
peasant, 70, 0.00012709
figure, 70, 0.00012709
according, 70, 0.00012709
sir, 70, 0.00012709
hour, 70, 0.00012709
occurred, 70, 0.00012709
pretty, 70, 0.00012709
means, 70, 0.00012709
addressing, 70, 0.00012709
walked, 70, 0.00012709
court, 70, 0.00012709
approached, 70, 0.00012709
report, 70, 0.00012709
begin, 70, 0.00012709
glance, 70, 0.00012709
party, 70, 0.00012709
enter, 70, 0.00012709
sure, 69, 0.00012527
except, 69, 0.00012527
austrian, 69, 0.00012527
splendid, 69, 0.00012527
wearing, 69, 0.00012527
muttered, 69, 0.00012527
send, 69, 0.00012527
neck, 69, 0.00012527
sit, 69, 0.00012527
account, 69, 0.00012527
count's, 69, 0.00012527
group, 68, 0.00012345
serious, 68, 0.00012345
die, 68, 0.00012345
hurriedly, 68, 0.00012345
simple, 68, 0.00012345
whatever, 68, 0.00012345
friends, 68, 0.00012345
leg, 68, 0.00012345
dressing, 68, 0.00012345
consciousness, 68, 0.00012345
understanding, 68, 0.00012345
bennigsen, 68, 0.00012345
feelings, 68, 0.00012345
silently, 67, 0.00012164
consider, 67, 0.00012164
plain, 67, 0.00012164
interest, 67, 0.00012164
relations, 67, 0.00012164
flushed, 67, 0.00012164
filled, 67, 0.00012164
what's, 67, 0.00012164
majesty, 67, 0.00012164
notice, 67, 0.00012164
telling, 66, 0.00011982
growing, 66, 0.00011982
settled, 66, 0.00011982
strong, 66, 0.00011982
nesvitski, 66, 0.00011982
you'll, 66, 0.00011982
mean, 66, 0.00011982
wrong, 66, 0.00011982
city, 66, 0.00011982
chair, 66, 0.00011982
unknown, 66, 0.00011982
fate, 65, 0.00011801
surrounded, 65, 0.00011801
effect, 65, 0.00011801
bare, 65, 0.00011801
snow, 65, 0.00011801
riding, 65, 0.00011801
minutes, 65, 0.00011801
cut, 65, 0.00011801
crossed, 65, 0.00011801
vera, 65, 0.00011801
post, 65, 0.00011801
sorry, 65, 0.00011801
